date,time,dest,src,rssi
03/10/2023,15:01:09.910856,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:01:09.921373,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:01:09.924854,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-49
03/10/2023,15:01:09.935202,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:01:10.845890,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:01:10.897721,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:01:10.901206,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:01:10.981666,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:01:11.856939,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:01:11.873487,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:01:11.883709,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:01:12.849119,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:01:12.859622,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-46
03/10/2023,15:01:12.863064,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-49
03/10/2023,15:01:12.873462,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-46
03/10/2023,15:01:13.890881,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:13.901163,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:13.904556,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:13.911611,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:14.882325,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:01:14.892961,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:01:14.896503,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:01:14.906812,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:01:15.853228,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:15.863393,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:15.873762,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:16.898834,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:01:16.924450,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:01:16.928050,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:01:16.938418,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:01:18.032891,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:18.043403,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-44
03/10/2023,15:01:18.047617,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-49
03/10/2023,15:01:18.057967,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-46
03/10/2023,15:01:18.964145,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:01:18.984070,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:01:18.987644,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:01:19.962841,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:01:19.980650,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:01:19.984143,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:01:20.021657,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:01:20.999286,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-42
03/10/2023,15:01:21.012999,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-43
03/10/2023,15:01:21.016631,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-42
03/10/2023,15:01:21.026904,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,15:01:22.252816,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-37
03/10/2023,15:01:22.256352,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-36
03/10/2023,15:01:22.278899,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-36
03/10/2023,15:01:22.346439,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-38
03/10/2023,15:01:22.360817,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-38
03/10/2023,15:01:23.583262,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-22
03/10/2023,15:01:24.626440,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-24
03/10/2023,15:01:24.630291,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-23
03/10/2023,15:01:24.633764,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-24
03/10/2023,15:01:25.651998,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-26
03/10/2023,15:01:25.655711,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-25
03/10/2023,15:01:26.607239,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-33
03/10/2023,15:01:26.624499,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-35
03/10/2023,15:01:26.628283,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-34
03/10/2023,15:01:27.574799,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-46
03/10/2023,15:01:27.585227,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-44
03/10/2023,15:01:27.588777,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-45
03/10/2023,15:01:27.600065,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:28.609068,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:01:28.622760,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:01:28.626221,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:01:28.629880,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-51
03/10/2023,15:01:28.698431,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-34
03/10/2023,15:01:28.712195,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:28.721179,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-32
03/10/2023,15:01:28.856970,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:28.951056,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:28.958009,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:29.032790,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-51
03/10/2023,15:01:29.077376,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-49
03/10/2023,15:01:29.137461,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-40
03/10/2023,15:01:29.196320,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-40
03/10/2023,15:01:29.227681,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-30
03/10/2023,15:01:29.282311,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-32
03/10/2023,15:01:29.292426,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-28
03/10/2023,15:01:29.341576,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-30
03/10/2023,15:01:29.407874,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,15:01:29.525577,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-40
03/10/2023,15:01:29.660498,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,15:01:29.667174,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-44
03/10/2023,15:01:29.684535,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-45
03/10/2023,15:01:29.899154,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-40
03/10/2023,15:01:29.969024,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-49
03/10/2023,15:01:29.979453,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-46
03/10/2023,15:01:30.139094,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-51
03/10/2023,15:01:30.173511,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:30.218463,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:30.251581,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-40
03/10/2023,15:01:30.479107,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:30.493555,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-50
03/10/2023,15:01:30.504017,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-50
03/10/2023,15:01:30.507521,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-50
03/10/2023,15:01:30.517750,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:01:30.521413,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-50
03/10/2023,15:01:30.699248,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:01:30.732189,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:01:30.872976,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-47
03/10/2023,15:01:30.901106,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,15:01:30.974501,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-50
03/10/2023,15:01:31.008602,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-46
03/10/2023,15:01:31.129722,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-43
03/10/2023,15:01:31.190875,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-43
