date,time,dest,src,rssi
03/10/2023,15:09:09.568734,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:09.591662,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:09.596795,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:09.611880,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:10.562337,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:10.576580,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:10.595763,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:10.606149,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:11.545594,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:11.556084,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:11.563746,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:11.600762,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:12.676311,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:12.714386,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:09:12.717919,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:12.728238,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:09:14.100911,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:14.111324,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:14.114741,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:14.125040,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:14.873482,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:14.888037,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:14.891796,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:14.902199,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:09:15.945860,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:15.952534,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:15.962844,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:15.966344,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:15.976514,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:16.700225,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:16.703986,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:16.707821,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:18.052190,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:18.062589,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:18.066134,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:18.069676,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:18.076836,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:19.148587,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:09:19.159509,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:19.162991,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:19.173244,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:20.064612,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:20.074840,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:20.084441,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:20.094953,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:21.030222,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:21.033665,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:21.053776,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:21.715014,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:21.718687,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:21.729049,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:22.561697,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:09:22.588227,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:22.591735,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:22.602777,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:24.201068,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:24.217968,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:24.221377,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:24.245209,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:09:25.262145,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:09:25.265698,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:09:25.288731,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:25.296811,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:28.247547,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:28.254439,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:28.624218,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-42
03/10/2023,15:09:28.646669,ff:ff:ff:ff:ff:ff,e4:5f:01:d4:9d:2f,-38
03/10/2023,15:09:28.650529,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:09:28.782110,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:28.904346,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:29.060236,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:29.287413,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:29.459287,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:29.561297,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:29.632924,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:29.662640,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:29.702928,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:29.732487,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:09:29.829389,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:29.836266,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-66
03/10/2023,15:09:30.005316,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:30.135418,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:30.151329,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:30.158023,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:30.171347,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:30.174742,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:30.181752,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:30.215469,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:30.328512,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:30.392221,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:30.399170,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:30.924725,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:30.935220,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:30.991442,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:31.042107,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:31.135803,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:31.142698,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:31.234868,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:31.238566,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:31.245444,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:31.249069,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:31.340626,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:31.347422,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:09:31.357439,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:09:31.367744,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:31.371361,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:09:31.459462,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:31.548570,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:31.646484,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:31.707060,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:31.979294,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:31.986192,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:09:31.989859,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:09:31.993506,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:09:32.074550,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:32.078334,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:32.111275,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:09:32.292609,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:32.373295,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:09:32.488644,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:09:32.492202,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:09:32.502467,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:09:32.506084,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:09:32.625453,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:09:33.078452,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:33.088843,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:33.092299,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:33.102501,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:35.062482,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:35.073515,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:09:35.077022,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:35.087426,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:35.523384,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:35.526947,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:36.052790,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:36.056314,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:09:36.102740,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:36.106250,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:09:36.153752,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:36.682872,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:09:36.686378,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:36.707392,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:37.582939,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:37.593525,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:37.597036,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:37.611569,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:38.605955,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
