date,time,dest,src,rssi
03/10/2023,14:56:54.598627,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,14:56:55.468703,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-48
03/10/2023,14:56:55.513178,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-43
03/10/2023,14:56:55.516715,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-45
03/10/2023,14:56:55.530422,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-42
03/10/2023,14:56:56.470235,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,14:56:56.480637,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,14:56:56.484064,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,14:56:56.494427,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,14:56:57.693512,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,14:56:57.703948,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,14:56:57.707426,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,14:56:57.720829,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,14:56:58.547704,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,14:56:58.554695,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-52
03/10/2023,14:56:58.558156,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-52
03/10/2023,14:56:58.568555,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,14:56:59.510252,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,14:56:59.520662,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-52
03/10/2023,14:56:59.524114,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-50
03/10/2023,14:56:59.550835,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-50
03/10/2023,14:56:59.557914,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-45
03/10/2023,14:56:59.568263,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-44
03/10/2023,14:57:00.476949,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-43
03/10/2023,14:57:00.506979,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-40
03/10/2023,14:57:00.544169,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-42
03/10/2023,14:57:00.547974,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,14:57:00.558517,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-41
03/10/2023,14:57:01.516054,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-29
03/10/2023,14:57:01.522852,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-28
03/10/2023,14:57:01.526282,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-28
03/10/2023,14:57:01.532977,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-28
03/10/2023,14:57:03.400867,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-32
03/10/2023,14:57:03.411278,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-29
03/10/2023,14:57:03.414735,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-30
03/10/2023,14:57:03.425078,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-31
03/10/2023,14:57:04.480436,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-28
03/10/2023,14:57:04.490890,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-27
03/10/2023,14:57:04.494370,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-28
03/10/2023,14:57:04.501242,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-28
03/10/2023,14:57:05.276445,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-32
