date,time,dest,src,rssi
03/10/2023,15:09:57.504352,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:57.521471,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:57.524988,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:57.535381,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:58.573323,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:58.614071,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:58.645400,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:58.655560,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:58.662501,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:59.282050,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:59.292743,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:09:59.296371,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:09:59.306927,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:09:59.893406,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:09:59.903786,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:09:59.907282,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:09:59.917582,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-53
03/10/2023,15:10:00.932485,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:00.939241,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-66
03/10/2023,15:10:00.949645,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-66
03/10/2023,15:10:00.956905,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:01.012297,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:01.028408,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:10:01.878551,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:01.892862,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:10:01.896424,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:02.874937,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:02.885393,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:02.888939,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:02.899476,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:02.903160,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-66
03/10/2023,15:10:03.850880,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:03.888462,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:03.892037,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:10:03.909520,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:10:04.908456,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:04.911998,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-66
03/10/2023,15:10:04.922326,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:05.865476,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:05.875925,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:05.879397,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:05.890578,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:06.891080,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:06.901894,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:06.905375,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:06.923743,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:07.964157,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:07.974694,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:10:07.978297,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:07.988756,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:10:09.657002,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:09.667468,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:09.670981,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:09.711714,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:10.438943,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:10.449509,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:10:10.452967,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:10.463386,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:11.544879,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:10:11.555176,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:10:11.558715,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:10:11.569175,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:10:12.350703,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:12.368327,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:10:12.397056,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:10:12.407601,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-52
03/10/2023,15:10:13.516016,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:13.537174,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:13.540779,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:10:13.551285,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:14.428158,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:14.438650,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:14.442133,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:14.452424,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:15.221162,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:15.231266,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:15.242364,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:10:15.890741,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:15.904844,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:15.908408,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:15.918873,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:10:16.974383,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-57
03/10/2023,15:10:16.990796,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:16.994312,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:17.016022,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:10:17.758740,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:17.911544,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:17.929211,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:10:17.932715,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:17.944060,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-55
03/10/2023,15:10:18.909074,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:18.919633,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:10:18.923091,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:18.933414,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-56
03/10/2023,15:10:19.905135,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:19.915438,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:19.925869,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:20.925495,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:20.946116,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:20.949678,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:20.960157,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:10:22.138395,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:22.166723,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-65
03/10/2023,15:10:22.170228,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:22.180849,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:22.954842,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-62
03/10/2023,15:10:22.965578,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:22.969089,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-63
03/10/2023,15:10:22.975744,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-61
03/10/2023,15:10:22.986337,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-60
03/10/2023,15:10:23.892736,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:23.903314,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-58
03/10/2023,15:10:23.906851,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-59
03/10/2023,15:10:23.917274,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-54
03/10/2023,15:10:25.668539,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
03/10/2023,15:10:25.678863,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-67
03/10/2023,15:10:25.682266,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-67
03/10/2023,15:10:25.702268,44:12:44:69:9d:d2,e4:5f:01:d4:9d:2f,-64
